pais,departamento,localidad
URUGUAY,SORIANO,SACACHISPAS
URUGUAY,SORIANO,CAÐADA NIETO
URUGUAY,SORIANO,CUCHILLA DEL PERDIDO
URUGUAY,SORIANO,EL TALA
URUGUAY,SORIANO,LA CONCORDIA
URUGUAY,SORIANO,LA LOMA
URUGUAY,SORIANO,PALO SOLO
URUGUAY,SORIANO,CHACRAS DE DOLORES
URUGUAY,SORIANO,COLONIA CONCORDIA
URUGUAY,SORIANO,PERSEVERANO
URUGUAY,SORIANO,LARES
URUGUAY,TACUAREMBO,TACUAREMBO
URUGUAY,TACUAREMBO,PASO DE LOS TOROS
URUGUAY,TACUAREMBO,SAN GREGORIO DE POLANCO
URUGUAY,TACUAREMBO,TAMBORES
URUGUAY,TACUAREMBO,ACHAR
URUGUAY,TACUAREMBO,ANSINA
URUGUAY,TACUAREMBO,CURTINA
URUGUAY,TACUAREMBO,PASO DEL CERRO
URUGUAY,TACUAREMBO,CLARA
URUGUAY,TACUAREMBO,CUCHILLA DEL OMBU
URUGUAY,TACUAREMBO,LA HILERA
URUGUAY,TACUAREMBO,LAS TOSCAS
URUGUAY,TACUAREMBO,PASO BONILLA
URUGUAY,TACUAREMBO,PUEBLO DE ARRIBA
URUGUAY,TACUAREMBO,PUEBLO DEL BARRO
URUGUAY,TACUAREMBO,RINCON DEL BONETE
URUGUAY,TACUAREMBO,BALNEARIO IPORA
